id,host_id,property_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,review_scores_rating
14098972,84852280,Apartment,274,,,692,138,0,7,1125,29,59,89,89,87
14099453,52476185,Apartment,65,,,128,50,0,5,1125,15,15,15,15,100
14101477,3843433,Apartment,140,,,500,90,0,7,365,0,1,1,80,100
14109490,42432438,Apartment,199,,,,,0,1,1125,29,59,89,89,100
14109617,36001475,Apartment,51,,,198,25,35,7,165,19,49,79,79,91
14111198,6150339,House,350,,,0,100,0,3,1125,0,0,0,0,100
14112295,9028154,Apartment,174,,,0,60,0,2,365,17,47,77,352,100
14112394,43050141,Apartment,116,,,,40,0,4,1125,0,0,0,0,88
14112601,3424195,Apartment,120,,,150,50,0,4,1125,6,7,13,13,100
14113621,19890444,Apartment,150,,,500,66,0,1,150,0,0,0,0,96
14115474,57952249,House,237,,,350,60,0,3,30,0,0,0,0,
14124955,16001036,Apartment,40,,,0,20,10,5,24,0,0,0,0,
14124993,2086293,House,251,,,,250,20,6,1125,20,50,78,349,98
14125628,85182914,House,100,,,,,0,1,1125,29,59,89,364,
14127617,85210676,House,651,,,1000,250,25,5,30,7,36,36,116,100
14128541,54898509,Apartment,169,,,500,99,25,1,1125,10,25,47,306,99
14129015,55495802,Apartment,212,,,800,200,0,2,1125,9,14,27,260,100
14129846,30261722,Apartment,109,,,299,49,0,1,1125,9,33,63,63,94
14129849,28789055,Apartment,148,,,250,40,0,1,1125,24,54,81,171,95
14130467,7950541,Apartment,47,,,,20,20,1,12,0,0,0,0,100
14138294,60879865,Townhouse,54,,,200,49,21,3,1125,14,18,32,208,97
14141279,43050141,House,220,,,,,0,2,1125,5,35,65,120,88
